,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,MSFT__hl,MSFT__co,MSFT__ocp,MSFT__log_returns,MSFT__lret_squared,MSFT__earning_horizon1,MSFT__earning_horizon2,MSFT__earning_horizon3,MSFT__earning_horizon4,AAPL,MSFT
2015-08-27,0.0472875402542853,0.0337669275977767,0.0117412635854304,0.0455081911832069,0.0020709954647673,0,0,0,0,0.0494526487840645,0.0377757525462426,0.0132388502359969,0.05101460278224,0.0026024896970297,0,0,0,0,0.4533160461025375,0.4619466646895286
2015-08-28,0.0148638800676833,0.0064085666593846,0.0028614881369015,0.009270054796286,8.593391592614627e-05,0,0,0,0,0.016167288563343,0.0077928425541174,0.0006905282815533,0.0084833708356706,7.196758073550707e-05,0,0,0,0,0.160944789049595,0.1647498631987087
2015-08-31,0.0222613104765733,0.0064805588783778,-0.0038223967603056,0.0026581621180725,7.065825845956058e-06,0,0,0,0,0.0184957420571261,-0.0060511782701059,-0.0009136592686751,-0.0069648375387809,4.85089619416125e-05,0,0,0,0,0.2490680620502278,0.1993727992802482
2015-09-01,0.0253910152627717,-0.0249227275682599,-0.0079074759774042,-0.0328302035456644,0.0010778222648497,0,0,0,0,0.0313275310287664,-0.0275061745753751,-0.0086843723550292,-0.0361905469304044,0.0013097556871218,0,0,0,0,0.1911123406971104,0.2627022957405981
2015-09-02,0.0204022855667457,0.0094915966815716,0.0067429369022387,0.0162345335838103,0.0002635600806838,0,0,0,0,0.0291785405984061,0.0176600735888115,0.0078357280888207,0.0254958016776321,0.0006500359031851,0,0,0,0,0.2348098960254671,0.3039524569737336
2015-09-03,0.0231730171575409,-0.006480984578244,0.0028757530932835,-0.0036052314849603,1.2997694060149712e-05,0,0,0,0,0.0192932029346792,0.0110702237542471,0.0020126920098941,0.0130829157641412,0.0001711626848916,0,0,0,0,0.2562338012105353,0.1897149486283934
2015-09-04,0.0172599143395127,-0.0117911882082005,-0.0063406009527742,-0.0181317891609746,0.000328761778178,0,0,0,0,0.0280261874897016,-0.0258943966293817,-0.004139288993631,-0.030033685623013,0.0009020222721019,0,0,0,0,0.1847510513961802,0.1949718515305996
2015-09-08,0.0200081413789373,0.0081136943149154,0.0138032471663374,0.0219169414812525,0.0004803523238926,0,0,0,0,0.0216686682362782,0.0135599386534108,0.016817724499795,0.0303776631532062,0.0009228024186496,0,0,0,0,0.303390855406324,0.3354643568314122
2015-09-09,0.0215784804650598,-0.0081213847038687,0.0121610688186335,0.0040396841147649,1.6319047747084384e-05,0,0,0,0,0.02163842190851,-0.0118387615508518,0.0083361309996492,-0.0035026305512029,1.2268420778220091e-05,0,0,0,0,0.2991947759183183,0.2507268602879824
2015-09-10,0.0280628499616582,0.0112550880459381,-0.0018930287782509,0.009362059267687,8.764815373168541e-05,0,0,0,0,0.021738390572256,0.0007213969524143,-0.0008939743969702,-0.0001725774445557,2.9782974369406137e-08,0,0,0,0,0.2963098058751084,0.2443215020682092
2015-09-11,0.0175050927987194,0.016411989577553,-0.0077507439069758,0.0086612456705768,7.501717656608536e-05,0,0,0,0,0.0150263026333058,0.0028866713654101,-0.0049599271184149,-0.0020732557530047,4.2983894173673584e-06,0,0,0,0,0.1659159241148008,0.1839504251848527
2015-09-14,0.0267345031111771,0.0149306353909143,0.0001768431392773,0.0151074785301914,0.0002282359075401,0,0,0,0,0.0129763249085895,-0.0118125287842322,0.0014977824103115,-0.0103147463739206,0.0001063939927583,0,0,0,0,0.2614642124472573,0.0905458738467853
2015-09-15,0.0137604153823964,0.0023284905523005,0.0038062329689004,0.006134723521201,3.763483268157723e-05,0,0,0,0,0.0218196487244005,0.0218173770322965,0.0034887813035214,0.0253061583358178,0.0006404016497174,0,0,0,0,0.1642589631749833,0.1293015548477747
2015-09-16,0.0088853904162128,-0.002498816517157,0.0009470920678666,-0.0015517244492904,2.407848766525641e-06,0,0,0,0,0.011117261923366,-0.0001135653853931,0.0002271436693466,0.0001135782839538,1.2900026585904444e-08,0,0,0,0,0.0978055346823066,0.1248380104927886
2015-09-17,0.0097891369490514,-0.0060632494110577,-0.0009494627617591,-0.0070127121728167,4.917813201877205e-05,0,0,0,0,0.0128526217511315,0.0027063615977426,0.0057754534581663,0.0084818150559087,7.194118664263994e-05,0,0,0,0,0.0933951999997522,0.1688389804700517
2015-09-18,0.0194274246192204,-0.0087425245192043,-0.0021769986988839,-0.0109195232180883,0.0001192359873103,0,0,0,0,0.0193082372553662,-0.0135564671132772,-0.0048552360745998,-0.0184117031878767,0.0003389908142784,0,0,0,0,0.2032473871196044,0.1871475903160609
2015-09-21,0.0118096110745868,0.0089231630472599,-0.0004392708175176,0.0084838922297421,7.19764273658785e-05,0,0,0,0,0.0193078116049243,0.0120661680208508,0.0016045848714959,0.0136707528923469,0.0001868894846436,0,0,0,0,0.0993502775309093,0.1828871178458702
